nom_restaurant,ville,categorie,note_google,nombre_avis,possede_site_web,url_site_web,score_completude_profil,google_maps_cid
Pizzeria Forno Di Napoli,Cagnes-sur-Mer,Pizza,4.2,979,true,https://fornodinapoli-cagnes.com/,8,7621532112002039186
Brasserie du cours,Cagnes-sur-Mer,Brasserie,4.2,458,true,http://www.brasserieducours.com/,8,17404312234307125191
La Concorde,Cagnes-sur-Mer,Brasserie,4.2,675,false,,7,13404598857207744763
Bistronomique Beach,Cagnes-sur-Mer,Restaurant,4.1,399,true,https://bistronomiquebeach.com/,8,7318928890406095009
Brasserie Des Halles,Cagnes-sur-Mer,Brasserie,4.1,135,true,https://www.facebook.com/pages/Brasserie-des-Halles/636940033031365,8,5269847824053165789
Restaurant L'Azur,Cagnes-sur-Mer,Brasserie,3.6,770,true,https://brasserielazur.com/,7,1899327938791814611
Le Saint Pierre,Cagnes-sur-Mer,Pizza,3.4,667,true,https://instagram.com/le.saint.pierre,7,14608949028831485329
Black Sails - A Pirate Tavern By Chef LeChat,Cannes,Restaurant,4.9,881,true,http://blacksailstavern.fr/,8,10728005399068597688
La Cantine Provençale,Cannes,Plats provençaux,4.8,1,true,http://lacantineprovencale.com/,6,2624348610018258378
Sens Restaurant Cannes,Cannes,Restaurant,4.8,532,true,https://www.sens-restaurant.fr/,8,3986549671559008436
La Table d’Hôtes,Cannes,Restaurant,4.8,150,true,https://www.latabledhotes-cannes.com/,8,8107964505772073808
Scalini,Cannes,Italienne,4.8,455,true,https://www.jwmarriottcannes-restaurants.com/,8,10547500600828612225
Pizzatti Cannes — Livraison à domicile,Cannes,Pizza,4.8,91,true,https://pizzatti.fr/,8,3430254689037562047
GREEN PIZZA CANNES,Cannes,Pizza,4.8,337,true,https://green-pizza.qaniit.com/fr,8,6086220796290664871
Pizza34,Cannes,Pizza,4.8,793,true,http://pizza-34-cannes.eatbu.com/,8,7734690489498615657
Mamma Mia - La Spiaggia,Cannes,Pizza,4.7,655,true,http://mammamia-cannes.fr/,8,17536086375446163884
Hyde Beach Cannes,Cannes,Restaurant,4.6,1,true,https://mondrianhotels.com/cannes/dining/hyde-beach,6,6218333340370325432
La Bambola,Cannes,Restaurant,4.6,348,true,http://www.labambolacannes.com/,8,3960879044877385409
La Table du Chef,Cannes,Française,4.6,560,true,https://latableduchefcannes.com/,8,6808129061661802491
L’Atrium - Restaurant Cannes,Cannes,Restaurant,4.6,816,true,https://www.l-atrium-restaurant-cannes.fr/,8,8670038013024881194
L'Affable,Cannes,Française,4.6,737,true,http://restaurant-laffable.fr/,8,2305491789400613947
Mamma Pizza - Cannes,Cannes,Pizza,4.6,401,true,https://mamma-pizza-cannes.eatbu.com/,8,7211721950483688459
Brasserie La Villa,Cannes,Brasserie,4.6,442,true,https://brasserielavilla.fr/fr,8,4671058920524087507
Le Californie,Cannes,Française,4.6,183,true,https://www.instagram.com/le.californie,8,1967809246080401085
L'Assiette Provençale,Cannes,Française,4.5,1,true,http://lassiette-provencale-restaurant-cannes.eatbu.com/,6,2191460681434750623
Restaurant La Palme d'Or,Cannes,Gastronomie française,4.5,288,true,https://www.lapalmedor-restaurant.fr/,8,6210398868081644242
Best Pizza - Pizzeria Cannoise,Cannes,Pizza,4.5,281,false,,7,8563013845337854767
Tredici,Cannes,Pizza,4.5,1,true,https://tredici-cannes.eatbu.com/,6,2798441634160374797
ASTOUX ET BRUN,Cannes,Brasserie,4.5,2,true,https://www.astouxetbrun.com/,6,4109197064056465135
La Môme,Cannes,Restaurant,4.4,3,true,https://lamomecannes.com/,6,13601003185247145928
Fouquet's Cannes,Cannes,Brasserie,4.4,619,true,https://www.hotelsbarriere.com/cannes/le-majestic/restaurants-et-bars/fouquets-cannes,8,10063027473843663301
Table 22 par Noël Mantel - Restaurant Cannes,Cannes,Restaurant,4.4,497,true,https://www.restaurantmantel.com/,8,16616162928563535411
RAGAZZI CANNES,Cannes,Italienne,4.4,1,true,http://ragazzi-group.fr/,6,8335151675709832401
La Pizzaiola Chez Xavier,Cannes,Pizza,4.4,676,true,https://pizzaiolachezxavier.eatbu.com/,8,8667443533722628509
La Mandala - Restaurant - Plage - Croisette Cannes,Cannes,Restaurant,4.2,1,true,https://lamandala-cannes.com/,5,13377605883880775031
Chez Le Brasseur Cannes,Cannes,Restaurant,4.2,1,true,https://www.chezlebrasseur.com/chez-le-brasseur-cannes,6,712144188620166703
