nom_restaurant,ville,categorie,note_google,nombre_avis,possede_site_web,url_site_web,score_completude_profil,google_maps_cid
Brasserie de Castillon - Taproom,Nice,Microbrasserie,4.9,369,true,https://www.brasseriedecastillon.com/,8,17213876407754249105
Brasserie BLEUE,Nice,Brasserie,4.9,48,true,http://brasseriebleue.com/,7,3381241155939422518
Le Panier,Nice,Française,4.8,2,true,http://www.restaurantlepanier.com/,6,11769985832384550861
La Cantine de Mémé - restaurant à Nice,Nice,Restaurant,4.8,1,true,http://www.lacantinedememe.fr/,6,14430131001696314437
Restaurant JAN,Nice,Cuisine gastronomique,4.8,1,true,http://www.restaurantjan.com/,6,4881164733632136658
Les Agitateurs - restaurant gastronomique,Nice,Cuisine gastronomique,4.8,1,true,https://www.lesagitateurs.com/,6,1705661167762086501
Sapori di Sicilia,Nice,Pizza,4.8,392,true,https://sapori-di-sicilia.fr/,8,6429134042235361186
Don Vincenzo,Nice,Pizza,4.8,647,false,,7,9441185710125649791
La Table de Brice,Nice,Brasserie,4.8,149,true,https://www.instagram.com/latabledebrice,8,1763050446024804149
Les Sens,Nice,Française,4.7,1,true,http://www.les-sens-nice.fr/,6,15752787321929773898
Chez Acchiardo,Nice,Restaurant,4.7,3,true,https://www.facebook.com/pages/Restaurant-Chez-Acchiardo/247157661974943,6,13696855102255329525
LA. CUCINA,Nice,Italienne,4.7,1,true,https://www.instagram.com/la_cucinanice,6,17019030474594185868
Influence - restaurant gastronomique à Nice,Nice,Restaurant,4.7,583,true,https://restaurant-influence-nice.fr/,8,2050687890040526654
Pizza da Francesco,Nice,Pizza,4.7,745,true,http://pizzadafrancesco.com/,8,10132035851948462250
Le Patio Restaurant & Terrasse,Nice,Méditerranéenne,4.6,642,true,https://www.hotel-la-perouse.com/restaurant-bar-terrasse,8,7987257669795432262
Maison F Restaurant,Nice,Restaurant,4.6,931,true,https://www.maison-f-restaurant-nice.fr/,8,2853082532217412316
L'Atelier,Nice,Française,4.6,546,true,https://bonsrestaurants.fr/restaurants/l-atelier-nice-2,8,6988262826454152464
Pizza _italian pizza _pizza napoletana _ napolitaine _ take away_pizza to go_amore pizza_trattoria,Nice,Pizza,4.6,669,true,https://litaliananice.com/,8,17427305404133213335
FELIX - Brasserie,Nice,Restaurant,4.6,5,true,https://www.felixdenice.fr/,6,381358896413757169
Bistrot Gourmand - restaurant à Nice,Nice,Française,4.5,1,true,https://www.bistrotgourmand.net/,6,4360285173651645366
La Réserve de Nice,Nice,Gastronomie française,4.5,1,true,https://www.lareservedenice.fr/fr,6,7040850707024510850
Le Napoléon Brasserie Nice,Nice,Restaurant,4.5,567,true,https://www.lenapoleon-nice.fr/,8,11389083351153528419
La Voglia,Nice,Italienne,4.4,6,true,https://www.lavoglia.com/,6,11762304910847949111
La Rotonde,Nice,Restaurant,4.4,969,true,https://www.lenegresco.com/restaurants/la-rotonde,8,14129135761908998665
La maison de Marie - Restaurant Traditionnel Nice,Nice,Française,4.3,3,true,https://www.lamaisondemarie.com/,6,4210885743166931084
Brasserie Le Gambetta,Nice,Brasserie,4.3,1,true,https://brasserielegambetta.fr/,6,9431662501705358827
Brasserie L'Union,Nice,Restaurant,4.3,1,true,http://www.unionrestaurant.fr/,6,11711634511332022588
La Pizza Cresci,Nice,Pizza,4.2,4,true,https://www.pizza-cresci-nice.com/,6,15867246933668146064
Le Gaglio - Brasserie Nice,Nice,Brasserie,4.2,1,true,http://www.restaurantgaglio.com/fr,6,9928181040498696735
ZAYNA Saint-Tropez,Saint-Tropez,Restaurant,4.9,42,true,https://www.zayna.club/,7,8025593156643814311
Gourd'I Saint-Tropez,Saint-Tropez,Italienne,4.9,320,true,https://instagram.com/gourdisttropez,8,14599162787307796365
Alegría Saint-Tropez,Saint-Tropez,Bar à tapas,4.8,91,true,http://www.alegriasainttropez.com/,8,16383722948494762030
Pizz'arte,Saint-Tropez,Pizza,4.8,440,true,http://pizzarte.fr/,8,3141518104600874313
Allo Pizza St-Tropez,Saint-Tropez,Pizza,4.8,461,true,http://www.allopizza-st-tropez.fr/,8,17534161633615358884
AREV SAINT TROPEZ,Saint-Tropez,Méditerranéenne,4.7,33,true,https://www.arevcollection.com/dine-sip/the-strand,7,4778728167645414495
La Grange des Agapes - Restaurant gastronomique Cogolin,Saint-Tropez,Cuisine gastronomique,4.7,243,true,http://www.grangeagapes.com/,7,17985330777121880313
Le Relais des Moines,Saint-Tropez,Cuisine gastronomique,4.7,1,true,https://www.lerelaisdesmoines.com/,5,2967904891610231282
La Part Des Anges - Brasserie Bistronomique Saint-Tropez,Saint-Tropez,Française,4.6,890,true,https://www.lapartdesanges-sainttropez.fr/,8,18078024488100968938
Restaurant Gastronomique Grimaud - Les Santons,Saint-Tropez,Gastronomie française,4.6,212,true,http://www.restaurant-les-santons.fr/,7,17099557151985848142
Pearl Beach Saint-Tropez,Saint-Tropez,Restaurant,4.5,1,true,http://www.thepearlbeach.com/,5,15111913280768676402
Les Viviers du Pilon,Saint-Tropez,Restaurant,4.5,547,true,https://www.viviers-dupilon-restaurant.com/,8,16430065335891939830
Restaurant Colette by Sezz St. Tropez,Saint-Tropez,Gastronomie française,4.5,80,true,http://www.colettesainttropez.com/,8,15980212878351620598
Un Jour à Peyrassol,Saint-Tropez,Italienne,4.5,373,true,https://www.unjourapeyrassol-sainttropez.fr/,8,4831599569275327612
tsar,Saint-Tropez,Bar,4.5,534,true,https://fr-fr.facebook.com/tsar.sttropez,8,17149879119518991577
Hôtel La Ponche · Saint Tropez,Saint-Tropez,Restaurant,4.4,968,true,https://www.laponche.com/,8,290799161658159527
L'Aroma - Pizza Contemporaine au Feu de Bois à Saint-Tropez,Saint-Tropez,Italienne,4.4,578,true,https://sites.google.com/view/laromasttropez/accueil?authuser=1,8,7705880282151231103
Jardin Tropezina,Saint-Tropez,Méditerranéenne,4.3,778,true,https://jardin-tropezina.fr/,7,304856014826975708
Pizza Lila,Saint-Tropez,Pizza,4.3,6,false,,5,5231912125627072916
La Bouillabaisse,Saint-Tropez,Restaurant,4.2,1,true,https://www.labouillabaisse-plage.com/,6,17004185099909594837
Marcellino,Saint-Tropez,Italienne,4.1,874,false,,7,6228190121872351376
Brasserie Tropézienne,Saint-Tropez,Restaurant,4.1,171,true,https://menu.eazee-link.com/menu?o=q&id=VIR-N6TO97,8,14438291022767384308
Le sporting,Saint-Tropez,Pizza,3.8,969,true,https://le-sporting.com/,7,3891524968941847155
Café de Paris Saint-Tropez - Brasserie Française,Saint-Tropez,Française,3.8,1,true,http://www.cafedeparis.fr/,5,9720657049118506486
Restaurant Le Patio Saint-Tropez,Saint-Tropez,Restaurant,3.7,43,true,https://www.hotel-le-yaca.fr/fr/restaurant-et-bar.html,6,3302400578493340787
SÉNÉQUIER,Saint-Tropez,Restaurant,3.7,2,true,http://www.senequier.com/,5,13426928463873948571
Pizza Tropézienne,Saint-Tropez,Italienne,3.6,645,true,https://www.pizzatropezienne.fr/,7,14020027726612431587
Le Bistro des Lices,Saint-Tropez,Bistro,3.5,59,false,,6,60754889009732232
Bar Le Gorille,Saint-Tropez,Brasserie,3.3,454,false,,6,18249740615760330360
bistrot du port,Saint-Tropez,Bar,3,390,false,,6,4800881078162947603
Porto Vecchio - Pizzeria,Saint-Tropez,Italienne,2.8,628,false,,6,1444452179383024545
